Date,price,trend_state,vol_state,regime,confidence
2000-10-16,138.1875,DOWN,HIGH,RISK_OFF,0.37613585349342693
2000-10-17,134.75,DOWN,HIGH,RISK_OFF,0.43000000000000005
2000-10-18,134.25,DOWN,HIGH,RISK_OFF,0.445
2000-10-19,139.3125,DOWN,HIGH,RISK_OFF,0.3544545092154765
2000-10-20,139.90625,DOWN,HIGH,RISK_OFF,0.3371902478017583
2000-10-23,140.53125,DOWN,HIGH,RISK_OFF,0.31622094637592024
2000-10-24,139.59375,DOWN,HIGH,RISK_OFF,0.38130327656263535
2000-10-25,136.3125,DOWN,HIGH,RISK_OFF,0.52
2000-10-26,136.6875,DOWN,HIGH,RISK_OFF,0.535
2000-10-27,139.28125,DOWN,HIGH,RISK_OFF,0.4381851735298925
2000-10-30,140.53125,DOWN,HIGH,RISK_OFF,0.38224057739006223
2000-10-31,142.953125,DOWN,HIGH,RISK_OFF,0.2623311213001543
2000-11-01,142.46875,DOWN,HIGH,RISK_OFF,0.30292102078562627
2000-11-02,142.703125,DOWN,HIGH,RISK_OFF,0.30437753394005485
2000-11-03,142.78125,DOWN,HIGH,RISK_OFF,0.31459584483038466
2000-11-06,143.78125,DOWN,HIGH,RISK_OFF,0.2751416268149658
2000-11-07,143.75,DOWN,HIGH,RISK_OFF,0.2923724194487181
2000-11-08,140.5625,DOWN,HIGH,RISK_OFF,0.4838676418084845
2000-11-09,140.03125,DOWN,HIGH,RISK_OFF,0.5282362547779251
2000-11-10,136.625,DOWN,HIGH,RISK_OFF,0.7
2000-11-13,135.5625,DOWN,HIGH,RISK_OFF,0.7
2000-11-14,139.125,DOWN,HIGH,RISK_OFF,0.5920852986719558
2000-11-15,139.5625,DOWN,HIGH,RISK_OFF,0.5674449433119829
2000-11-16,137.375,DOWN,HIGH,RISK_OFF,0.6871125557009523
2000-11-17,136.640625,DOWN,HIGH,RISK_OFF,0.7
2000-11-20,134.6875,DOWN,HIGH,RISK_OFF,0.7
2000-11-21,135.375,DOWN,HIGH,RISK_OFF,0.7
2000-11-22,132.140625,DOWN,HIGH,RISK_OFF,0.7
2000-11-24,134.84375,DOWN,HIGH,RISK_OFF,0.7
2000-11-27,136.03125,DOWN,HIGH,RISK_OFF,0.7
2000-11-28,133.6875,DOWN,HIGH,RISK_OFF,0.7
2000-11-29,133.4375,DOWN,HIGH,RISK_OFF,0.7
2000-11-30,132.28125,DOWN,HIGH,RISK_OFF,0.7
2000-12-01,132.21875,DOWN,HIGH,RISK_OFF,0.7
2000-12-04,133.34375,DOWN,HIGH,RISK_OFF,0.7
2000-12-05,137.71875,DOWN,HIGH,RISK_OFF,0.6504316388716362
2000-12-06,135.515625,DOWN,HIGH,RISK_OFF,0.7
2000-12-07,133.65625,DOWN,HIGH,RISK_OFF,0.7
